,publisher,scores,total,avg_score
179,2K Games,"[4.2, 3.0, 7.1, 9.1, 8.5, 9.1, 9.1, 9.1, 9.1, 9.0, 9.5, 7.0, 8.8, 9.5, 9.4, 6.7, 9.7, 9.4, 9.7, 9.7, 8.2, 9.7, 7.5, 7.3, 5.7, 9.2, 9.0, 6.9, 9.2, 7.0, 5.4, 6.8, 9.0, 7.0, 7.0, 7.0, 9.0, 8.8, 8.5, 6.5, 8.8, 8.0, 6.5, 6.0, 7.0, 8.8, 8.4, 8.4, 8.0, 8.8, 8.8, 8.0, 8.0, 8.0, 8.2, 7.8, 4.5, 4.5, 8.2, 7.9, 7.1, 9.3, 8.0, 9.0, 7.8, 8.9, 9.4, 8.4, 6.9, 6.5, 8.8, 8.8, 8.0, 9.4, 9.0, 8.5, 9.0, 8.0, 6.0, 6.0, 6.0, 5.5, 5.5, 5.5, 6.3, 8.3, 9.0, 4.1, 5.0, 4.5, 4.5, 6.0, 6.0, 4.0, 4.0, 9.9, 8.6, 7.5, 8.0, 8.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.4, 5.9, 7.9, 6.2, 6.6, 6.8, 7.0, 6.8, 7.0, 5.5, 7.0, 6.9, 7.4, 6.5, 7.2, 6.0, 6.4, 3.8, 3.8, 7.8, 9.0, 8.9, 8.4, 8.5, 7.8, 7.0, 6.0, 7.0, 7.0, 9.0, 8.2, 8.0, 7.5, 7.8, 8.7, 8.2, 9.1, 9.4, 9.4, 9.2, 9.2, 9.0, 9.0, 8.0, 6.5, 8.0, 4.2, 6.7, 5.7, 7.5, 5.5, 7.3, 8.0, 7.8, 7.7, 8.5, 4.8, 4.8, 4.5, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.8, 8.2, 3.8, 7.0, 7.3, 4.3, 5.0, 7.7, 9.3, 8.0, 8.8, 7.0, 7.0, 8.5, 8.2, 9.0, 3.4]",187,7.4171122994652405
180,Sonic Boom Games,[5.0],1,5.0
181,RedLynx,[8.0],1,8.0
182,nGame Ltd.,"[8.0, 2.5]",2,5.25
183,Croteam,"[5.0, 7.0, 7.0]",3,6.333333333333333
184,Mastertronic,"[7.5, 7.6, 7.5, 5.0, 5.5, 5.6, 2.4, 2.4, 4.0, 8.0, 3.0]",11,5.318181818181818
185,Playrix Entertainment,"[7.5, 8.0]",2,7.75
186,Murudai,[8.0],1,8.0
187,MumboJumbo,"[7.4, 6.5, 4.9, 7.0, 4.6, 5.9, 8.5, 8.0, 7.5, 8.8, 8.8, 8.5, 6.5, 3.5, 7.0, 4.5, 4.5, 9.1, 6.6, 7.8, 7.5, 6.8, 7.7, 7.5, 8.0, 4.0, 4.0, 6.8, 6.0, 6.0, 6.3, 6.3, 6.3, 6.2, 6.9, 5.0, 8.0, 7.5, 7.4, 6.0, 6.6, 6.0]",42,6.635714285714287
188,Kunos Simulazioni,[6.0],1,6.0
189,NinjaBee,"[8.5, 8.2, 7.5, 8.0, 6.2, 8.1, 8.0, 7.9]",8,7.800000000000001
190,Sting,"[5.4, 5.4, 6.5, 8.0, 8.0, 8.8, 6.2, 7.0, 7.8, 7.7]",10,7.08
191,Micro World ,[7.0],1,7.0
192,No Matter Studios,[4.0],1,4.0
193,Stray Bombay Company,[5.0],1,5.0
194,New World Computing,"[9.1, 6.0]",2,7.55
195,Zen United,"[9.4, 8.0, 9.4, 9.0]",4,8.95
